date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25
2010-10-01,['duke'],['michigan-state'],['kansas-state'],['ohio-state'],['pittsburgh'],['villanova'],['kansas'],['north-carolina'],['florida'],['syracuse'],['kentucky'],['gonzaga'],['illinois'],['purdue'],['missouri'],['baylor'],['butler'],['washington'],['memphis'],['georgetown'],['virginia-tech'],['temple'],['tennessee'],['brigham-young'],['san-diego-state']
2010-11-15,['duke'],['michigan-state'],['kansas-state'],['ohio-state'],['pittsburgh'],['villanova'],['kansas'],['north-carolina'],['florida'],['syracuse'],['gonzaga'],['kentucky'],['illinois'],['purdue'],['missouri'],['butler'],"['baylor', 'washington']",[],['memphis'],['georgetown'],['temple'],['virginia-tech'],['brigham-young'],['tennessee'],['san-diego-state']
2010-11-22,['duke'],['michigan-state'],['ohio-state'],['kansas-state'],['pittsburgh'],['kansas'],['villanova'],['kentucky'],['syracuse'],['purdue'],['missouri'],['baylor'],['washington'],['memphis'],['minnesota'],"['florida', 'georgetown']",[],['san-diego-state'],['illinois'],['texas'],['temple'],['gonzaga'],['brigham-young'],['tennessee'],['north-carolina']
2010-11-29,['duke'],['ohio-state'],['pittsburgh'],['kansas'],['kansas-state'],['michigan-state'],['connecticut'],['syracuse'],['missouri'],['kentucky'],['baylor'],['villanova'],['tennessee'],['memphis'],['minnesota'],['georgetown'],['san-diego-state'],['florida'],['texas'],['illinois'],['brigham-young'],['purdue'],['washington'],['nevada-las-vegas'],['notre-dame']
2010-12-06,['duke'],['ohio-state'],['pittsburgh'],['kansas'],['kansas-state'],['connecticut'],['michigan-state'],['syracuse'],['georgetown'],['baylor'],['tennessee'],['villanova'],['memphis'],['san-diego-state'],['missouri'],['illinois'],['kentucky'],['brigham-young'],['purdue'],['nevada-las-vegas'],['washington'],['minnesota'],['notre-dame'],['louisville'],['texas']
2010-12-13,['duke'],['ohio-state'],['kansas'],['connecticut'],['syracuse'],['kansas-state'],['tennessee'],['pittsburgh'],['baylor'],['villanova'],['san-diego-state'],['illinois'],['missouri'],['michigan-state'],['georgetown'],['brigham-young'],['kentucky'],['memphis'],['purdue'],['louisville'],['minnesota'],"['texas', 'nevada-las-vegas']",[],['notre-dame'],['texas-am']
2010-12-20,['duke'],['ohio-state'],['kansas'],['connecticut'],['syracuse'],['pittsburgh'],['san-diego-state'],['villanova'],['missouri'],['georgetown'],['kansas-state'],['michigan-state'],['kentucky'],['purdue'],['baylor'],['memphis'],['minnesota'],['texas'],['tennessee'],['florida'],['illinois'],['notre-dame'],['brigham-young'],['central-florida'],['texas-am']
2010-12-27,['duke'],['ohio-state'],['kansas'],['connecticut'],['syracuse'],['pittsburgh'],['san-diego-state'],['villanova'],['georgetown'],['missouri'],['kentucky'],['purdue'],['texas'],['minnesota'],['notre-dame'],['brigham-young'],['kansas-state'],['texas-am'],['central-florida'],['michigan-state'],['memphis'],['louisville'],['illinois'],['vanderbilt'],['temple']
2011-01-03,['duke'],['ohio-state'],['kansas'],['syracuse'],['pittsburgh'],['san-diego-state'],['villanova'],['connecticut'],['missouri'],['kentucky'],['purdue'],['texas'],['georgetown'],['notre-dame'],['brigham-young'],['texas-am'],['kansas-state'],['michigan-state'],['central-florida'],['illinois'],['memphis'],['vanderbilt'],['washington'],['cincinnati'],['nevada-las-vegas']
2011-01-10,['duke'],['ohio-state'],['kansas'],['syracuse'],['pittsburgh'],['san-diego-state'],['villanova'],['purdue'],['notre-dame'],['connecticut'],['brigham-young'],['texas'],['kentucky'],['texas-am'],['missouri'],['illinois'],['washington'],['louisville'],['temple'],['wisconsin'],['kansas-state'],['georgetown'],['central-florida'],['georgia'],['cincinnati']
2011-01-17,['ohio-state'],['kansas'],['syracuse'],['duke'],['pittsburgh'],['san-diego-state'],['villanova'],['connecticut'],['brigham-young'],['texas'],['texas-am'],['kentucky'],['missouri'],['purdue'],['minnesota'],['notre-dame'],['michigan-state'],['wisconsin'],['louisville'],['washington'],['west-virginia'],['saint-marys-ca'],"['georgetown', 'illinois']",[],['cincinnati']
2011-01-24,['ohio-state'],['pittsburgh'],['duke'],['san-diego-state'],['connecticut'],['kansas'],['texas'],['villanova'],"['brigham-young', 'syracuse']",[],['missouri'],['purdue'],['texas-am'],['kentucky'],['notre-dame'],['minnesota'],['wisconsin'],['washington'],['vanderbilt'],['illinois'],['georgetown'],['florida-state'],['louisville'],['florida'],['michigan-state']
2011-01-31,['ohio-state'],['kansas'],['texas'],['pittsburgh'],['duke'],['connecticut'],['san-diego-state'],['brigham-young'],['notre-dame'],['kentucky'],['purdue'],['villanova'],['georgetown'],['missouri'],['louisville'],['texas-am'],['syracuse'],['minnesota'],['wisconsin'],['washington'],['arizona'],['utah-state'],"['north-carolina', 'vanderbilt']",[],['west-virginia']
2011-02-07,['ohio-state'],['kansas'],['texas'],['pittsburgh'],['duke'],['san-diego-state'],['brigham-young'],['notre-dame'],['villanova'],['connecticut'],['georgetown'],['syracuse'],['wisconsin'],['purdue'],['arizona'],['louisville'],['florida'],['kentucky'],['missouri'],['north-carolina'],['utah-state'],['texas-am'],['vanderbilt'],['temple'],['west-virginia']
2011-02-14,['kansas'],['ohio-state'],['texas'],['pittsburgh'],['duke'],['san-diego-state'],['brigham-young'],['notre-dame'],['georgetown'],['wisconsin'],['purdue'],['arizona'],['connecticut'],['florida'],['villanova'],['louisville'],['syracuse'],['vanderbilt'],['north-carolina'],['missouri'],['texas-am'],['kentucky'],['temple'],['xavier'],['utah-state']
2011-02-21,['duke'],['ohio-state'],['kansas'],['pittsburgh'],['texas'],['san-diego-state'],['brigham-young'],['purdue'],['notre-dame'],['arizona'],['georgetown'],['wisconsin'],['florida'],['connecticut'],['villanova'],['louisville'],['syracuse'],['vanderbilt'],['north-carolina'],['missouri'],['texas-am'],['kentucky'],['st-johns-ny'],['temple'],['xavier']
2011-02-28,['ohio-state'],['kansas'],['brigham-young'],"['duke', 'pittsburgh']",[],['purdue'],['texas'],['notre-dame'],['san-diego-state'],['wisconsin'],['louisville'],['syracuse'],['north-carolina'],['florida'],['st-johns-ny'],['connecticut'],['georgetown'],['arizona'],['villanova'],['kentucky'],['vanderbilt'],['missouri'],['xavier'],['texas-am'],['utah-state']
2011-03-07,['ohio-state'],['kansas'],['pittsburgh'],['notre-dame'],['duke'],['north-carolina'],['san-diego-state'],['brigham-young'],['purdue'],['texas'],['syracuse'],['florida'],['wisconsin'],['louisville'],['kentucky'],['arizona'],['st-johns-ny'],['xavier'],['kansas-state'],['west-virginia'],['connecticut'],['georgetown'],['utah-state'],['temple'],['cincinnati']
2011-05-01,['ohio-state'],['kansas'],['duke'],['pittsburgh'],['notre-dame'],['san-diego-state'],['north-carolina'],['texas'],['connecticut'],['brigham-young'],['kentucky'],['syracuse'],['purdue'],['louisville'],['florida'],['wisconsin'],['arizona'],['st-johns-ny'],['utah-state'],['xavier'],['kansas-state'],['west-virginia'],['washington'],['texas-am'],['vanderbilt']
2011-10-01,['north-carolina'],['kentucky'],['ohio-state'],['connecticut'],['syracuse'],['duke'],['vanderbilt'],['florida'],['louisville'],['pittsburgh'],['memphis'],['baylor'],['kansas'],['xavier'],['wisconsin'],['arizona'],['ucla'],['michigan'],['alabama'],['texas-am'],['cincinnati'],['marquette'],['gonzaga'],['california'],['missouri']
2011-11-14,['north-carolina'],['kentucky'],['ohio-state'],['connecticut'],['syracuse'],['duke'],['florida'],['louisville'],['pittsburgh'],['memphis'],['baylor'],['kansas'],['xavier'],['wisconsin'],['arizona'],['alabama'],['michigan'],['vanderbilt'],['texas-am'],['cincinnati'],['marquette'],['gonzaga'],['california'],['missouri'],['florida-state']
2011-11-21,['north-carolina'],['kentucky'],['ohio-state'],['connecticut'],['syracuse'],['duke'],['louisville'],['memphis'],['baylor'],['florida'],['wisconsin'],['xavier'],['alabama'],['kansas'],['michigan'],['marquette'],['pittsburgh'],['vanderbilt'],['gonzaga'],['california'],['missouri'],['florida-state'],['arizona'],['mississippi-state'],['texas-am']
2011-11-28,['kentucky'],['ohio-state'],['duke'],['syracuse'],['north-carolina'],['louisville'],['baylor'],['connecticut'],['wisconsin'],['florida'],['xavier'],['alabama'],['missouri'],['michigan'],['kansas'],['marquette'],['pittsburgh'],['nevada-las-vegas'],['gonzaga'],['vanderbilt'],['mississippi-state'],['memphis'],['saint-louis'],['california'],['texas-am']
2011-12-05,['kentucky'],['ohio-state'],['syracuse'],['north-carolina'],['louisville'],['baylor'],['duke'],['xavier'],['connecticut'],['missouri'],['marquette'],['florida'],['kansas'],['wisconsin'],['pittsburgh'],['alabama'],['mississippi-state'],['georgetown'],['creighton'],['michigan'],['memphis'],['texas-am'],['gonzaga'],['illinois'],['harvard']
2011-12-12,['syracuse'],['ohio-state'],['kentucky'],['louisville'],['north-carolina'],['baylor'],['duke'],['xavier'],['connecticut'],['missouri'],['marquette'],['kansas'],['florida'],['wisconsin'],['pittsburgh'],['georgetown'],['mississippi-state'],['indiana'],['illinois'],['michigan'],['michigan-state'],['texas-am'],['alabama'],['murray-state'],"['creighton', 'vanderbilt']"
2011-12-19,['syracuse'],['ohio-state'],['kentucky'],['louisville'],['north-carolina'],['baylor'],['duke'],['connecticut'],['missouri'],['marquette'],['florida'],['kansas'],['wisconsin'],['xavier'],['pittsburgh'],['georgetown'],['indiana'],['mississippi-state'],['michigan-state'],['michigan'],['nevada-las-vegas'],['murray-state'],['creighton'],['virginia'],['illinois']
2011-12-26,['syracuse'],['ohio-state'],['kentucky'],['louisville'],['north-carolina'],['baylor'],['duke'],['missouri'],['connecticut'],['florida'],['wisconsin'],['georgetown'],['indiana'],['marquette'],['mississippi-state'],['michigan-state'],['kansas'],['michigan'],['nevada-las-vegas'],['murray-state'],['creighton'],['pittsburgh'],['virginia'],['harvard'],['san-diego-state']
2012-01-02,['syracuse'],['kentucky'],['north-carolina'],['baylor'],['duke'],['ohio-state'],['missouri'],['connecticut'],['georgetown'],['michigan-state'],['louisville'],['indiana'],['florida'],['kansas'],['mississippi-state'],['michigan'],['nevada-las-vegas'],['wisconsin'],['murray-state'],['marquette'],['virginia'],['harvard'],['kansas-state'],['san-diego-state'],['gonzaga']
2012-01-09,['syracuse'],['kentucky'],['north-carolina'],['baylor'],['ohio-state'],['michigan-state'],['indiana'],['duke'],['missouri'],['kansas'],['georgetown'],['nevada-las-vegas'],['michigan'],['louisville'],['murray-state'],['virginia'],['connecticut'],['kansas-state'],['florida'],['mississippi-state'],['gonzaga'],['san-diego-state'],['creighton'],['seton-hall'],['marquette']
2012-01-16,['syracuse'],['kentucky'],['baylor'],['duke'],['missouri'],['ohio-state'],['kansas'],['north-carolina'],['michigan-state'],['georgetown'],['indiana'],['murray-state'],['connecticut'],['nevada-las-vegas'],['virginia'],['san-diego-state'],['florida'],['mississippi-state'],['creighton'],['michigan'],['marquette'],['illinois'],['louisville'],['saint-marys-ca'],['kansas-state']
2012-01-23,['kentucky'],['missouri'],['syracuse'],['ohio-state'],['kansas'],['baylor'],['north-carolina'],['duke'],['georgetown'],['michigan-state'],['murray-state'],['nevada-las-vegas'],['san-diego-state'],['florida'],['creighton'],['indiana'],['marquette'],['mississippi-state'],['virginia'],['michigan'],['saint-marys-ca'],['kansas-state'],['florida-state'],['connecticut'],['wisconsin']
2012-01-30,['kentucky'],['syracuse'],['ohio-state'],['missouri'],['north-carolina'],['baylor'],['duke'],['kansas'],['michigan-state'],['murray-state'],['nevada-las-vegas'],['florida'],['creighton'],['georgetown'],['marquette'],['virginia'],['san-diego-state'],['saint-marys-ca'],['wisconsin'],['indiana'],['florida-state'],['mississippi-state'],['michigan'],['gonzaga'],['vanderbilt']
2012-02-06,['kentucky'],['syracuse'],['ohio-state'],['missouri'],['north-carolina'],['baylor'],['kansas'],['florida'],['murray-state'],['duke'],['michigan-state'],['georgetown'],['san-diego-state'],['nevada-las-vegas'],['florida-state'],['saint-marys-ca'],['creighton'],['marquette'],['virginia'],['mississippi-state'],['wisconsin'],['michigan'],['indiana'],['louisville'],['harvard']
2012-02-13,['kentucky'],['syracuse'],['missouri'],['kansas'],['duke'],['ohio-state'],['michigan-state'],['north-carolina'],['baylor'],['georgetown'],['nevada-las-vegas'],['marquette'],['san-diego-state'],['florida'],['wisconsin'],['murray-state'],['michigan'],['indiana'],['louisville'],['florida-state'],['saint-marys-ca'],['virginia'],['notre-dame'],"['gonzaga', 'wichita-state']",[]
