Rank,team_id,display_name
1,ucla,UCLA
2,kentucky,Kentucky
3,arizona,Arizona
4,texas,Texas
5,baylor,Baylor
6,providence,Providence
7,nevada-las-vegas,UNLV
8,north-carolina,North Carolina
9,michigan-state,Michigan St.
10,north-carolina-state,N.C. State
11,indiana,Indiana
12,duke,Duke
13,kansas,Kansas
14,michigan,Michigan
15,pittsburgh,Pittsburgh
16,xavier,Xavier
17,syracuse,Syracuse
18,maryland,Maryland
19,purdue,Purdue
20,virginia,Virginia
21,houston,Houston
22,oklahoma-state,Oklahoma St.
23,wake-forest,Wake Forest
24,florida,Florida
25,iowa,Iowa
