Rank,points,team_id
1,407,kentucky
2,298,memphis
3,262,north-carolina
4,221,ohio-state
5,213,north-carolina-state
6,180,texas
7,174,illinois
8,172,tennessee
9,168,duke
10,162,syracuse
11,150,michigan-state
12,145,ucla
12,145,wake-forest
14,144,florida
15,141,missouri
16,124,florida-state
17,122,connecticut
18,110,stanford
19,97,virginia
20,96,louisville
21,95,kansas
22,93,baylor
23,91,villanova
24,80,marquette
25,79,detroit-mercy
26,74,california
27,72,central-michigan
28,68,washington
28,68,south-carolina
30,66,georgetown
31,65,oklahoma
32,57,florida-international
33,56,auburn
34,48,arizona-state
35,46,maryland
36,41,alabama
37,40,miami-fl
38,37,providence
39,34,pittsburgh
40,33,west-virginia
41,31,arizona
42,29,oklahoma-state
43,24,georgia-tech
44,22,dayton
45,21,michigan
46,20,vanderbilt
47,19,southern-california
48,17,purdue
48,17,louisiana-state
50,14,xavier
51,12,virginia-tech
52,11,st-johns-ny
52,11,texas-am
54,6,wisconsin
55,4,mississippi
56,3,new-mexico
56,3,saint-josephs
