team_id,display_name,flair_name,conference,location,year_start,year_end,color
abilene-christian,Abilene Christian,Abilene Christian Wildcats,Southland,"Abilene, Texas",1971,2020,#4e2583
air-force,Air Force,Air Force Falcons,MWC,"USAF Academy, Colorado",1958,2020,#0061aa
akron,Akron,Akron Zips,MAC,"Akron, Ohio",1902,2020,#a89968
alabama-am,Alabama A&M,,SWAC,"Normal, Alabama",2000,2020,#661012
alabama,Alabama,Alabama Crimson Tide,SEC,"Tuscaloosa, Alabama",1913,2020,#aa1c37
alabama-state,Alabama St.,Alabama State Hornets,SWAC,"Montgomery, Alabama",1983,2020,#231f20
alabama-birmingham,UAB,UAB Blazers,CUSA,"Birmingham, Alabama",1980,2020,#221e1f
albany-ny,Albany,,AEC,"Albany, New York",2000,2020,#401e6b
alcorn-state,Alcorn St.,,SWAC,"Alcorn State, Mississippi",1978,2020,#42134b
american,American,American University Eagles,Patriot,"Washington, District of Columbia",1967,2020,#21428b
appalachian-state,Appalachian St.,Appalachian State Mountaineers,Sun Belt,"Boone, North Carolina",1974,2020,#ffd602
arizona-state,Arizona St.,Arizona State Sun Devils,Pac-12,"Tempe, Arizona",1912,2020,#ffcd34
arizona,Arizona,Arizona Wildcats,Pac-12,"Tucson, Arizona",1905,2020,#09326a
arkansas,Arkansas,Arkansas Razorbacks,SEC,"Fayetteville, Arkansas",1924,2020,#d31145
arkansas-state,Arkansas St.,Arkansas State Red Wolves,Sun Belt,"State University, Arkansas",1971,2020,#ec1b2e
arkansas-pine-bluff,Arkansas Pine Bluff,,SWAC,"Pine Bluff, Arkansas",1999,2020,#f0b510
army,Army,Army West Point,Patriot,"West Point, New York",1903,2020,#000000
auburn,Auburn,Auburn Tigers,SEC,"Auburn, Alabama",1906,2020,#183562
austin-peay,Austin Peay,Austin Peay Governors,OVC,"Clarksville, Tennessee",1964,2020,#c51f33
ball-state,Ball St.,Ball State Cardinals,MAC,"Muncie, Indiana",1972,2020,#e52d3b
baylor,Baylor,Baylor Bears,Big 12,"Waco, Texas",1907,2020,#004933
belmont,Belmont,Belmont Bruins,OVC,"Nashville, Tennessee",2000,2020,#3c3968
bethune-cookman,Bethune Cookman,Bethune-Cookman Wildcats,MEAC,"Daytona Beach, Florida",1981,2020,#71283f
binghamton,Binghamton,Binghamton Bearcats,AEC,"Binghamton, New York",2002,2020,#000000
birmingham-southern,Birmingham Southern,,Big South,"Birmingham, Alabama",1920,2006,
boise-state,Boise St.,Boise State Broncos,MWC,"Boise, Idaho",1972,2020,#09539f
boston-college,Boston College,Boston College Eagles,ACC,"Chestnut Hill, Massachusetts",1946,2020,#840317
boston-university,Boston University,Boston University Terriers,Patriot,"Boston, Massachusetts",1916,2020,#d90229
bowling-green-state,Bowling Green,Bowling Green Falcons,MAC,"Bowling Green, Ohio",1916,2020,#532e1c
bradley,Bradley,Bradley Braves,MVC,"Peoria, Illinois",1903,2020,#d1202e
brigham-young,BYU,BYU Cougars,WCC,"Provo, Utah",1903,2020,#003468
brown,Brown,Brown Bears,Ivy,"Providence, Rhode Island",1901,2020,#892b24
bryant,Bryant,Bryant Bulldogs,NEC,"Smithfield, Rhode Island",2011,2020,#a7967a
bucknell,Bucknell,Bucknell Bison,Patriot,"Lewisburg, Pennsylvania",1896,2020,#f47937
buffalo,Buffalo,Buffalo Bulls,MAC,"Buffalo, New York",1907,2020,#7ca5d4
butler,Butler,Butler Bulldogs,Big East,"Indianapolis, Indiana",1897,2020,#1b3864
cal-poly,Cal Poly,Cal Poly Mustangs,Big West,"San Luis Obispo, California",1995,2020,#004f37
cal-state-bakersfield,Cal St. Bakersfield,,WAC,"Bakersfield, California",2011,2020,#5b91d0
cal-state-fullerton,Cal St. Fullerton,,Big West,"Fullerton, California",1975,2020,#004071
long-beach-state,Long Beach St.,Long Beach State 49ers,Big West,"Long Beach, California",1970,2020,#000000
cal-state-northridge,Cal St. Northridge,,Big West,"Northridge, California",1991,2020,#d22030
california-baptist,Cal Baptist,California Baptist Lancers,WAC,"Riverside, California",2019,2020,#002554
campbell,Campbell,Campbell Fighting Camels,A-Sun,"Buies Creek, North Carolina",1978,2020,#f68026
